Designator,Mid X,Mid Y,Rotation,Layer
C1,111.01,-110.0475,0.0,top
C10,79.045,-108.16,180.0,top
C11,85.625,-107.425,0.0,top
C12,76.28,-86.295,90.0,top
C13,67.14,-82.375,270.0,top
C14,72.57,-100.0,0.0,top
C15,72.57,-103.63,0.0,top
C16,110.73,-85.77,180.0,top
C17,83.64,-117.4,270.0,top
C2,116.06,-115.4975,90.0,top
C3,83.281,-93.496,0.0,top
C4,80.765,-98.78,180.0,top
C5,91.41,-108.23,180.0,top
C6,93.875,-98.475,270.0,top
C7,83.281,-95.371,0.0,top
C8,81.22,-102.67,90.0,top
C9,79.045,-106.685,180.0,top
D1,122.7325,-114.87,180.0,top
D11,126.84,-107.73,180.0,top
D2,100.4325,-112.15,180.0,top
D3,100.41,-109.8125,180.0,top
D4,102.6475,-105.34,180.0,top
D5,102.6825,-102.415,180.0,top
D6,71.5875,-93.06,0.0,top
D7,110.9,-96.6039,180.0,top
D8,115.5675,-83.69,180.0,top
D9,110.945,-94.3039,180.0,top
FB1,81.545,-107.4375,270.0,top
J1,87.07,-121.86,0.0,top
J2,58.85,-87.905,180.0,top
J5,127.315,-100.01,90.0,top
J7,100.97,-79.29,270.0,top
R1,120.3825,-115.605,90.0,top
R10,97.2725,-109.7875,180.0,top
R11,99.505,-105.35,180.0,top
R12,99.545,-102.44,180.0,top
R13,74.615,-93.06,0.0,top
R14,107.7425,-96.5639,180.0,top
R15,107.7625,-94.3039,180.0,top
R16,65.805,-91.31,180.0,top
R17,123.6875,-107.75,0.0,top
R2,65.3,-102.825,90.0,top
R3,112.195,-83.72,0.0,top
R4,63.42,-87.865,90.0,top
R5,119.035,-98.35,180.0,top
R6,118.99,-102.35,180.0,top
R7,91.29,-118.05,180.0,top
R8,87.8,-118.2,0.0,top
R9,97.2775,-112.1525,180.0,top
SW1,58.71,-102.82,270.0,top
SW2,68.36,-112.5,0.0,top
U1,111.06,-115.6975,90.0,top
U2,87.5,-101.5,270.0,top
U3,69.625,-87.715,90.0,top
Y2,77.86,-101.64,0.0,top
